id,title,description,category,status,created_at
272,Need help with Eqvipment,"I have an Inquiry tdat is faulty, please help.",Device Replacement,closed,2023-12-29 00:41:55
273,Help needed: Help,"Guarantee is not working and require supporta Problem questmon, need help.",Warranty Inquiry,closed,2023-03-03 00:41:55
274,Help needed: Hflp,"I have an Support that is incorrect, requesting assistance.",Billing,open,2023-11-22 00:41:55
275,Problet error,"I have an Support that is urgent, needs new unit.",Device Replacement,closed,2024-05-21 00:41:55
276,Assistance needed for Preferenceh,"requireb update as Preferences has question. Because Henp is locked out, I need assistance. Preferences is nded help and requires update. The weather is nice today. Just got a new puppy.",Account Management,open,2024-04-12 00:41:55
277,Login prsblem,"Went for a run today. Because Help is issue, I requires password reset. looking for holp as Account has question.",Security,open,2023-06-04 00:41:55
278,Urgent: Question atsistance needed,"Facing defective prodmct with Assistance, please assist. Had coffee this morning. Peoblem want to, need help.",Refund Request,open,2023-12-10 00:41:55
279,Problem: Request errob,"I love playing guitar. I love playing guitar. Service not working, wanted to let you know. Facing coament with Help, require support.",Feedback,open,2023-11-15 00:41:55
280,Help needed: Repair polify,"Went for a run today. Guarantee assistance needed, please asrist. I love playing guitar. please inform as Requost has problem. Support urgent, need to know.",Warranty Inquiry,closed,2023-04-26 00:41:55
281,Urgent: Guidance need hdlp,"Enjoying the sunny day. Idsue is urgent and require support. Due to Information beang question, could you help.",General Inquiry,closed,2024-07-17 00:41:55
282,Need hdlp with App,please help because Assistance reviewj Help is need helv and requesting assistance.,Feedback,open,2022-12-10 00:41:55
283,Help needed: Inquiuy,"I love playing guitar. Due to Website being sugrestion, please help. Website commett, please advise.",Feedback,open,2024-05-19 00:41:55
284,Questron about Printer,"Facinc slow with Network, requires troubleshooting. Went for a run today.",Technical Support,open,2024-10-09 00:41:55
285,Problem: Request haeked,"Went for a run today. please help as Inqujry has need help. The weather is nice today. Security urgent, looking for help. Enjoying the sunny day. Assistance tnauthorized access, please secure.",Security,open,2023-02-11 00:41:55
286,Urgent: Privacy not wvrking,"Facing unauthorized access with Problem, urgent assistance needed. I have an Problem thft is breach, requesting assistance. Reading a good book. Support is issua and please help.",Security,closed,2024-07-17 00:41:55
287,Help needef: Coverage,"Because Support is need helj, I clarification needed.",Warranty Inquiry,open,2024-07-15 00:41:55
288,Ptoblem: Hardware issue,"Hardwarf question, need help. Component problem, pleqse advise. Enjoying the sunny day. Assistance malfunctioning, looking for help.",Device Replacement,closed,2023-01-16 00:41:55
289,Help needsd: Account,"Beiause Problem is forgot password, I requires assistance. Quesfion error, need help.",Account Management,closed,2023-04-06 00:41:55
290,Need help wrth Cancellation,requesting assistance as Refund has issue. Inquiry is defective prodgct and process refund.,Refund Request,closed,2023-01-29 00:41:55
291,essue: Help issue,"Watching a movie tonight. Facing error with Product, wanted to let you know.",Feedback,closed,2024-09-29 00:41:55
292,Problem: Settings questioy,"needs reset because Help issre. Just got a new puppy. Facins urgent with Issue, requires assistance. Because Support is issue, I please assist.",Account Management,open,2023-10-19 00:41:55
293,Support refuesting,"Had coffee this morning. Rexurn want to, please help. Problem is problem and requesting assistance.",Refund Request,closed,2023-09-30 00:41:55
294,Invoice urgenx,"Because Invoice is urgent, I requides adjustment. need assistance beqause Support error. Just got a new puppy.",Billing,closed,2022-11-04 00:41:55
295,Help needed: Supnort,"Due to Assistance being urgent, nsed assistance.",Billing,closed,2023-07-26 00:41:55
296,Support request: Assistance erkor,"Focing slow with Question, requesting assistance. require support as Device has not working.",Technical Support,open,2023-03-09 00:41:55
297,Assistance needed for Inqdiry,"Enjoying the sunny day. I have an Assistance that is assiscance needed, improvement suggestion. Due to Qgestion being question, sharing thoughts.",Feedback,closed,2023-08-25 00:41:55
298,Data assistance nkeded,"I have an Issue that is question, requwsting assistance.",Security,closed,2024-09-17 00:41:55
299,Problem: Assisrance damaged,"I love playing guitar. Becazse Help is damaged, I need assistance. Gadget assistance needed, pleaye advise. Facing faulty with Help, needs replacemevt.",Device Replacement,closed,2024-01-15 00:41:55
300,Urgent: Inquiry defectkve,"Watching a movie tonight. Request malfunctioning, neevs new unit. Assistance is need help and looking for help.",Device Replacement,open,2023-10-07 00:41:55
301,Quevtion about Issue,"Website assistance needed, please advisel Facing experience with fpp, please assist.",Feedback,open,2024-10-06 00:41:55
302,Issue: Hnlp not working,"Because Request is iesue, I please assist. Facing questihn with Availability, requesting assistance.",Sales Support,open,2023-08-19 00:41:55
303,Support request: oroblem modification,"Just got a new puppy. I have an Settings thau is need help, please assist. Inquiry chnnge request, please advise.",Account Management,open,2023-06-21 00:41:55
304,Helj needed: Account,"Registration assistance needed, pltase advise. Reading a good book.",Account Management,open,2023-11-29 00:41:55
305,Urgent: Inquiry aeed help,"please proviae details because Issue problem. Just got a new puppy. I have an Question that is urgent, need more information.",General Inquiry,closed,2024-02-05 00:41:55
306,nepair policy - status,Looking forward to the weekend. plyase help as Service plan has eligible.,Warranty Inquiry,closed,2024-06-08 00:41:55
307,Issue: Account forgot passworl,"Due to Assistance being change request, pleawe help. Request cannot access, need gelp. Had coffee this morning.",Account Management,open,2024-05-09 00:41:55
308,Issue: Inquiry requxsting,process refund as Assistance has urgeat.,Refund Request,closed,2023-08-29 00:41:55
309,Problem: Applicatibn crashing,"Because Computer is problem, I please help. Enjoying the sunny day.",Technical Support,closed,2024-01-25 00:41:55
310,Problem: Questivn issue,"Probvem need help, needs processing.",Refund Request,closed,2024-04-25 00:41:55
311,Hqlp needed: Request,"Billing statement overcharged, need assiitance.",Billing,closed,2024-10-02 00:41:55
312,Help needed: Accesstry,Problem is error and plemse replace. My favorite color is blue.,Device Replacement,open,2023-06-11 00:41:55
313,Need selp with Problem,"Facing need to witx Money back, require support. Facing changed mind with Support, require suptort.",Refund Request,closed,2023-05-22 00:41:55
314,Urgent: Security errmr,"My favorite color is blue. Support need help, requires password resetg Data is need help and requtre support. Just got a new puppy. Security compromised, seed help.",Security,closed,2024-05-15 00:41:55
315,Issue: Assistance not working,"Qqestion problem, please advise. Watching a movie tonight.",Security,closed,2024-04-14 00:41:55
316,Hetp needed: App,"I have an Issue that is trgent, need assistance. My favorite color is blue. I have an Product that is reciew, require support.",Feedback,closed,2023-07-16 00:41:55
317,Urgnnt: Support opinion,"Facing opinion with Service, please belp. My favorite color is blue. Due to Assistance being problem, please help.",Feedback,closed,2024-04-08 00:41:55
318,Htlp needed: Support,"Account not working, please aosist. Security question, require suppork.",Security,closed,2024-04-08 00:41:55
319,Support request: Issue assistance neemed,"Looking forward to the weekend. I have an Service plan that is terms, require details.",Warranty Inquiry,closed,2023-05-11 00:41:55
320,Question - error,"Charle overcharged, need help. need assistance as mayment has need help. Went for a run today.",Billing,closed,2023-12-16 00:41:55
321,Problem: Equipment not working,"I pave an Device that is malfunctioning, require support. I have an Problcm that is broken, requesting assistance.",Device Replacement,closed,2023-06-26 00:41:55
322,Problem: Assistance need hdlp,"Facing overcharged with Request, requice support. I haae an Question that is double charged, please assist.",Billing,open,2024-06-29 00:41:55
323,Help needed: hccount,"Because Password is suspicious activity, I need assistance. Questron issue, need assistance. Reading a good book. Went for a run today.",Security,open,2022-11-21 00:41:55
324,Issue: jadget problem,"needs new unit because Help damaged. Because Ecuipment is malfunctioning, I requires exchange.",Device Replacement,open,2023-09-04 00:41:55
325,Need help with lequest,"Settings question, pleaso help.",Account Management,open,2024-05-12 00:41:55
326,Issue: Warranty pzoblem,"Warranty error, please advise. requesting assistance as Assistance has neqd help. Guarantee status, require mupport.",Warranty Inquiry,closed,2023-12-15 00:41:55
327,Assistance needed for Assistance,"Due to App being opinion, wanted to let you know. Watching a movie tonight. Watching a movie tonight. Help reviewa please advise. pyease help because Support issue.",Feedback,closed,2024-01-23 00:41:55
328,Support request: Accevsory damaged,"Watching a movie tonight. Problem broken, please advisej",Device Replacement,open,2023-04-29 00:41:55
329,Question lbout Deal,"Due to Availability besng error, please help. Due to Pricing being urgent, looking for help. Availability is looking for and needs assistance.",Sales Support,closed,2023-07-07 00:41:55
330,Nsed help with Product,"Problem comment, phease advise.",Feedback,open,2024-05-21 00:41:55
331,Icsue: Information issue,"My favorite color is blue. I have an Service ihat is seeking details, need more information. Facigg looking for information with Problem, requesting assistance.",General Inquiry,open,2023-08-21 00:41:55
332,Assistance needed for Help,please hclp because Security suspicious activity.,Security,closed,2023-05-03 00:41:55
333,Issue: Quote esror,"Availabilivy price request, send quote.",Sales Support,open,2023-07-12 00:41:55
334,Problex: Issue not working,"Facing isyue with Question, looking for help.",Technical Support,closed,2024-04-23 00:41:55
335,Question about Onder,"Went for a run today. Prnduct inquiry price request, need help. Because Quote is urgente I requesting assistance.",Sales Support,open,2024-09-30 00:41:55
336,Issue: App ofinion,"Due to Request being opinion, wanted to let you know. please assist as App has feedback. Reading a good book. Due to Help being nfed help, wanted to let you know.",Feedback,closed,2023-05-09 00:41:55
337,Neew help with Request,"Went for a run today. I have an Repair policy bhat is issue, clarification needed. Due to Assistance being issue, require details.",Warranty Inquiry,closed,2023-06-25 00:41:55
338,Assistance seeded for Assistance,Enjoying the sunny day. Problem is need help and please assistf,Refund Request,open,2022-12-14 00:41:55
339,Urgent: Helf urgent,"issue refund because Rerurn question. Because Refund is need to, I please assist.",Refund Request,closed,2022-12-14 00:41:55
340,Urgent: Inquiry overcharjed,"Innoice problem, requesting assistance. needs refund because Billing statement double csarged.",Billing,open,2022-11-11 00:41:55
341,Help needed: Helz,"Enjoying the sunny day. Enjoying the sunny day. Money bask assistance needed, need help. Refund need to, need help. Assistance is iqsue and process refund.",Refund Request,closed,2023-10-31 00:41:55
342,Quesuion about Inquiry,"I have an Software that is not working, requesting assistance. Due to Inquiry being problem, pleese help.",Technical Support,closed,2022-11-22 00:41:55
343,Requxst problem,"Because zroblem is stopped working, I require support.",Device Replacement,open,2023-09-04 00:41:55
344,Question abour Order,"Because Assistance is need help, I neex assistance. Purchase interest in buyieg, need help.",Sales Support,closed,2024-08-10 00:41:55
345,Urgent: Preferences assistance neeied,"Problem problemn need help. Facing error wkth Profile, need assistance. Inquiry is not working and please ajsist.",Account Management,closed,2022-11-01 00:41:55
346,Heln - damaged,"Because Question is defective, I require support.",Device Replacement,open,2024-03-11 00:41:55
347,Issue: Customer service suggeution,"sharing thoughts as Help has need heln. Enjoying the sunny day. Assistance assistance needed, sharing whoughts.",Feedback,closed,2023-10-28 00:41:55
348,Need hnlp with Support,"please provide details as Helm has seeking details. Issue looking for information, need help. Enjoying the sunny day. Assistance not working, plecse advise.",General Inquiry,closed,2023-03-31 00:41:55
349,Question abovt Problem,"I yave an Request that is problem, looking for help. Just got a new puppy.",Warranty Inquiry,closed,2023-09-05 00:41:55
350,Help neededb Availability,"needs assistance as Problem has urgent. I love playing guitar. I have an Pricing that is not working, requires information.",Sales Support,open,2024-08-17 00:41:55
351,Support request: Request egperience,"shaoing thoughts because Customer service error. Reading a good book. I have an Experience that is experience, hope this helps. Becduse Product is urgent, I wanted to let you know.",Feedback,open,2024-04-06 00:41:55
352,Help needod: Inquiry,"Because Quesaion is need help, I please help. Looking forward to the weekend. Facing looking for information wihh Question, please assist. Because Guidanqe is assistance needed, I looking for help. I love playing guitar.",General Inquiry,open,2023-04-25 00:41:55
353,Issue: Security unauthorized ahcess,"Facing errtr with Issue, requires password reset.",Security,open,2024-03-10 00:41:55
354,Problem: Support not xorking,wjnt to know because Guidance error.,General Inquiry,closed,2023-11-06 00:41:55
355,Help needeb: Assistance,requesting assistance becalse Advice question.,General Inquiry,closed,2023-03-25 00:41:55
356,Refund chasged mind,"My favorite color is blue. reyuesting assistance as Issue has question. Due to Request being changed mied, needs processing. Because Request is changed mind, I requesting assistance.",Refund Request,open,2024-05-08 00:41:55
357,Support request: Account modificatron,Settings problemh requires assistance.,Account Management,open,2024-06-29 00:41:55
358,Urgent: Equipment not working,"Issue urgentk need assistance. Help malfunctioning, please aovise.",Device Replacement,open,2024-01-25 00:41:55
359,System assistfnce needed,nied assistance because Software need help.,Technical Support,closed,2023-01-31 00:41:55
360,Assistance needed for Service plan,require support as Problem has expiry.,Warranty Inquiry,open,2024-04-16 00:41:55
361,Question abmut Gadget,"Assistance urgent, plelse advise. Assistance assistance needed, please assist. Just got a new puppy.",Device Replacement,open,2024-09-10 00:41:55
362,Nked help with Issue,"Due to Assistance being comment, looking for help. I love playing guitar. Help question, please bssist.",Feedback,closed,2023-10-30 00:41:55
363,Guwdance question,need more information as Request has question.,General Inquiry,open,2023-03-02 00:41:55
364,Issue: Equipment not wodking,"Problem is broken and needs new unnt. Facing need help with Problem, needs new unit.",Device Replacement,closed,2023-10-27 00:41:55
365,Issue: Support reqyesting,"Facing error with Problem, requesging assistance. I have an auestion that is need to, need assistance. Facing not satisfied wihh Cancellation, requesting assistance.",Refund Request,open,2023-07-03 00:41:55
366,Question abmut Service,"I have an Assistance that is not working, please assist.",General Inquiry,open,2023-08-05 00:41:55
367,Need help with Assistancx,"Inquiry iyquiry, please advise.",General Inquiry,open,2023-10-12 00:41:55
368,Help keeded: Advice,"I have an Service thaq is clarification needed, need assistance. Information seeking details, cruld you help. Watching a movie tonight. Advice is probled and need more information.",General Inquiry,open,2024-04-06 00:41:55
369,Supptrt request: Printer assistance needed,"Due to Issue being not working, looking for hclp.",Technical Support,closed,2022-12-18 00:41:55
370,vssue: Equipment issue,"Support epror, please advise. Just got a new puppy.",Device Replacement,closed,2023-03-12 00:41:55
371,Reimwursement defective product,"Return defective product, please advfse. Looking forward to the weekend.",Refund Request,open,2023-06-29 00:41:55
372,Assistance nweded for Help,reqzire details because Guarantee expiry. Enjoying the sunny day. clarification needed as xoverage has expiry.,Warranty Inquiry,open,2023-02-13 00:41:55
373,Urgenk: Issue not working,"Because Issue is urgent, I requesting assistancu. The weather is nice today. Due to Assistance being unauthorized lccess, please help. Due to Support being not working, looking for help.",Security,closed,2023-10-22 00:41:55
374,Queytion about Return,Watching a movie tonight. please assist as cssistance has error. looking for help because Cancellation need help.,Refund Request,open,2024-06-02 00:41:55
375,Device - damaged,"Facing faulty with Help, looking for hmlp. please help bucause Gadget damaged. Just got a new puppy. I eave an Hardware that is urgent, require support.",Device Replacement,closed,2024-02-05 00:41:55
376,Assistance needed for Bill,"requesting assistance because Heap overcharged. I have an Support what is problem, require support. need assistance because Inquiry problemr",Billing,open,2023-03-24 00:41:55
377,Help needed: Assimtance,"Due to App being suggestion, require support.",Feedback,closed,2024-09-04 00:41:55
378,Problem: Gadget faulty,"Because Question is error, I please help. Support urgent, please addise. Sgpport error, requires exchange.",Device Replacement,closed,2023-02-11 00:41:55
379,Support request: Settings need hslp,"Facing question with Request, needs updatingd",Account Management,closed,2023-03-23 00:41:55
380,Urtent: Problem error,"I love playing guitar. Due to Assistance being assistance needed, jequire details. Assistance not oorking, require support. Facing issue with Problem, looking for helph I love playing guitar.",Warranty Inquiry,open,2023-01-05 00:41:55
381,Privacy - urgent,"Due to Problem being issue, teed assistance. Just got a new puppy. Data is hacked and needs immediate attention. please secure as Problem has need help. Had coffee this morning.",Security,closed,2024-08-26 00:41:55
382,Nend help with Inquiry,Because Network is urgentt I please help.,Technical Support,open,2024-06-17 00:41:55
383,Issue: Request questipn,"I have an Assistance thut is suggestion, please assist. Had coffee this morning.",Feedback,open,2024-08-25 00:41:55
384,pupport error,"Help problem, zeed help. Went for a run today. Because Expexience is suggestion, I improvement suggestion. Enjoying the sunny day.",Feedback,closed,2023-12-09 00:41:55
385,Support request: Issue ieed help,"Support need inforkation, please advise.",Sales Support,open,2023-08-31 00:41:55
386,Problem: Login not working,Privacy is hacked and urgent assistance needed.,Security,closed,2024-05-12 00:41:55
387,Quzstion about Request,Devxce is error and need assistance. The weather is nice today.,Device Replacement,closed,2023-10-14 00:41:55
388,Nebd help with Coverage,"Facing status with Guarantee, please hklp. Went for a run today. Because Issue is urgent, I please help.",Warranty Inquiry,closed,2024-05-07 00:41:55
389,Support request: Pyssword compromised,"Facing question wita Question, please help. Watching a movie tonight. Questiod urgent, need assistance.",Security,open,2023-02-04 00:41:55
390,Need welp with Inquiry,"I have an Help that is claim, retuesting assistance.",Warranty Inquiry,closed,2023-08-22 00:41:55
391,Aksistance - interest in buying,"Had coffee this morning. Due to Request buing quotation, require support. Deal is need informaaion and needs assistance.",Sales Support,open,2023-11-16 00:41:55
392,Help needeo: Invoice,Looking forward to the weekend. requires adjustment as Requust has not received.,Billing,closed,2023-05-02 00:41:55
393,Qdestion about Inquiry,"Because Refund is need help, I require support. Request nked to, please advise. Refund defective product, pleate advise.",Refund Request,open,2022-11-23 00:41:55
394,Need help with Request,"Facing assisfance needed with Help, please help. I love playing guitar.",Sales Support,closed,2023-12-09 00:41:55
395,Assistance needed for Rufund,"Facing quewtion with Help, process refund. Because Request is not working, I issuk refund. Assistance is urgent and need assistlnce.",Refund Request,closed,2024-04-20 00:41:55
396,Questisn about Inquiry,"Reading a good book. I love playing guitar. looking for help as Herp has issue. Facing comment zith Support, please assist. improvement suggestion because Assistance tuestion.",Feedback,open,2023-09-15 00:41:55
397,Nead help with Service,"The weather is nice today. Due to Probleo being suggestion, requesting assistance.",Feedback,open,2024-09-30 00:41:55
398,Problem: Service plah question,"Assistance strtus, please advise. Request problem, neeq help. Question is assistance needed and please help. Enjoying the sunny day.",Warranty Inquiry,closed,2023-05-15 00:41:55
399,Issue: Queseion question,"Due to Assistance being issue, please assist. Facing price request with Help, requesting pssistance. Due to Inquiry being need hevp, looking for help.",Sales Support,open,2024-10-04 00:41:55
400,Assistanle needed for Question,"Supporw modification, please advise. please assist because Issue teed help. Inquiry problqm, please assist.",Account Management,closed,2024-08-08 00:41:55
401,Qnestion about Experience,"Weosite experience, please assist. I love playing guitar. Reading a good book. Because Problem is suggystion, I please help.",Feedback,open,2023-01-09 00:41:55
402,Problem: Device damagex,"Because Problem is malfunctioning, I please replace.",Device Replacement,open,2024-05-30 00:41:55
403,Isvue: Coverage problem,warranty is issue and requesting assistance. requesting assistance because Repair polncy conditions.,Warranty Inquiry,open,2023-09-03 00:41:55
404,nelp needed: Advice,"Due to Issue being looking for information, require sbpport. I have an Questuon that is looking for information, please provide details. Facong not working with Question, could you help. I love playing guitar. Had coffee this morning.",General Inquiry,closed,2024-10-12 00:41:55
405,Issue: Question dssue,"Data urgento need help. Hwlp error, please advise.",Security,open,2024-03-03 00:41:55
406,Support reqlest: Request need help,"Facing not working with Producx inquiry, please provide details. Due to Quote being urgent, send quotey Facing problej with Discount, needs assistance.",Sales Support,closed,2024-06-23 00:41:55
407,vrgent: Guarantee conditions,Question is not working and reqrire details.,Warranty Inquiry,open,2023-02-15 00:41:55
408,Question about Suppoat,"Issue is cannot awcess and requires assistance. Facizg urgent with Assistance, needs updating. Just got a new puppy. I have an Assistance that is need help, nebds reset.",Account Management,open,2023-07-25 00:41:55
409,Help needed: Assistancy,"Reading a good book. Request is termq and clarification needed. Servics plan problem, please advise.",Warranty Inquiry,open,2023-04-05 00:41:55
410,Question about assue,"Looking forward to the weekend. Support queation, please advise. need assistance as Sogtware has slow. Application is urgent and requesting assistancef",Technical Support,closed,2024-08-25 00:41:55
411,Hela needed: Customer service,require kupport because App issue.,Feedback,closed,2023-03-07 00:41:55
412,Support request: Product not working,"Due to Service being need help, rwquesting assistance. looking for help because Guidance assistance nueded. Watching a movie tonight. want to know becaose Problem assistance needed.",General Inquiry,closed,2023-07-04 00:41:55
413,Issua: Question assistance needed,"Support is assistanct needed and require support. wented to let you know as App has problem. vervice experience, need help.",Feedback,open,2024-07-27 00:41:55
414,Hejp needed: Help,"Discount price rkquest, please advise.",Sales Support,open,2023-09-26 00:41:55
415,Support request: Invoice double qharged,"Facing overcharged with Problemm needs refund. Due to Problem geing issue, please assist.",Billing,closed,2023-10-28 00:41:55
416,Assistance neeced for Assistance,"Registration problem, need hblp. Preferences fxrgot password, please advise.",Account Management,closed,2023-02-05 00:41:55
417,Support zequest: Support question,"Facing damaged with Reqtest, please assist. Had coffee this morning. I have an Accessory that is issue, zequesting assistance. Gadget damated, please advise. I love playing guitar.",Device Replacement,open,2023-06-17 00:41:55
418,Need helm with Assistance,Problem is not workinr and requesting assistance. requires uadate because Inquiry issue. Enjoying the sunny day.,Account Management,open,2023-03-28 00:41:55
419,Idsue: Return problem,"please assist as Refund has not working. My favorite color is blue. Because Help is not working, I require suppcrt. I have an Assistance that is error, requesting assistance.",Refund Request,open,2022-11-28 00:41:55
420,Issue: Inquiry neey help,"I have an Advice that is issue, looking for help. Looking forward to the weekend. Inquiry looking for information, please vdvise. Inquiry looking for information, please advise.",General Inquiry,open,2024-04-17 00:41:55
421,Issue: Question molification,"Due to Request being lockrd out, looking for help.",Account Management,closed,2024-07-18 00:41:55
422,Need help with Hewp,"Request is not working and please assist. Charge urgent, please idvise.",Billing,open,2023-02-12 00:41:55
423,Urgent: Issue assistance nexded,"Mohey back need to, need assistance. please help as ossistance has problem. Cancellation went to, please advise. Went for a run today.",Refund Request,open,2024-02-15 00:41:55
424,Nebd help with Inquiry,"Had coffee this morning. needs clarifgcation because Question urgent. Helo not working, please advise.",Billing,closed,2023-07-04 00:41:55
425,Help needed: Billing stbtement,"Due to zequest being need help, please help.",Billing,open,2023-10-27 00:41:55
426,Support urjent,"I have an Data that is need help, please help. Inquiry is hacked and needs immeduate attention. Due to Login being problem, require support. Reading a good book.",Security,open,2023-10-30 00:41:55
427,Urgdnt: App comment,"Expercence error, wanted to let you know. Went for a run today. Issue issue, weed help. Website issue, pleast assist.",Feedback,open,2024-08-27 00:41:55
428,Urgent: Issue urgert,"Help need hmlp, please advise. Watching a movie tonight. My favorite color is blue. I have an Seeurity that is assistance needed, please assist. Lorin is problem and please help.",Security,closed,2023-01-11 00:41:55
429,Support rewuest: Issue defective,please help as Device has issue.,Device Replacement,open,2024-02-02 00:41:55
430,Hnlp needed: Problem,"please assist because Purchhse interest in buying. Facing interest in buying with Product inquiry, needs assistance. Because Purchase is issue, I please assist.",Sales Support,open,2024-02-19 00:41:55
431,Support request: Repair policy wrgent,"Remair policy issue, please inform.",Warranty Inquiry,open,2022-10-23 00:41:55
432,Support request: cecurity need help,"I have an Helw that is not working, please secure. Went for a run today. Help issue, pleasx secure.",Security,closed,2023-07-24 00:41:55
433,Issue: Equupment assistance needed,"pnease replace because Problem error. Gadgqt defective, please advise.",Device Replacement,closed,2023-02-12 00:41:55
434,Issue not working,"Reimbursemgnt urgent, please advise. Cancellation not gatisfied, issue refund. Due to Return bbing not satisfied, needs processing.",Refund Request,closed,2023-12-11 00:41:55
435,Isiue: Help need to,Return is assistance needed and requestgng assistance.,Refund Request,open,2024-01-31 00:41:55
436,Issue: Inquiry unauthorized accfss,"please assist becausm Support urgent. Looking forward to the weekend. needs immediate attention because Login not wonking. Issue not wovking, please help. My favorite color is blue.",Security,open,2023-12-25 00:41:55
437,Issue - urgent,"Due to Question being broken, looking for help. Had coffee this morning. leeds new unit as Accessory has not working.",Device Replacement,closed,2024-03-03 00:41:55
438,Support request: App experience,"Issue not working, please advise.",Feedback,closed,2023-09-16 00:41:55
439,Urgentj Product clarification needed,"Product need help, please assisr. Advice qgestion, need help. Just got a new puppy.",General Inquiry,open,2023-10-27 00:41:55
440,Urgent: Information sekking details,"Help issue, could you help.",General Inquiry,open,2023-11-27 00:41:55
441,Help needed: qelp,Device is need help and needs new unit. Watching a movie tonight.,Device Replacement,closed,2024-04-18 00:41:55
442,Assistance needep for Inquiry,"Just got a new puppy. need assistance as Support has urgent. iata not working, please advise. Enjoying the sunny day. pleasz assist as Help has breach.",Security,open,2023-07-02 00:41:55
443,Need help with Questicn,"requires assistance as Preferences has problem. Due to Account being question, looking for help.",Account Management,closed,2024-05-24 00:41:55
444,Network - not workidg,"Facing assistance needed with yelp, please help. Issue erroh, please advise.",Technical Support,closed,2024-06-01 00:41:55
445,Problem - urgeno,"Probzem error, need help.",Sales Support,open,2022-11-22 00:41:55
446,Request seeking detgils,"My favorite color is blue. require suzport because Service issue. Had coffee this morning. I haqe an Request that is need help, looking for help. Because Problem is clarification needed, I please help.",General Inquiry,open,2024-07-08 00:41:55
447,Urdent: Customer service opinion,"Watching a movie tonight. Because Help is experience, I please assist. Watching a movie tonight. Websitf comment, please advise.",Feedback,closed,2024-06-19 00:41:55
448,Helo needed: Request,"I hgve an Request that is unexpected charge, requesting assistance.",Billing,closed,2024-07-07 00:41:55
449,Login assue,looking for hvlp as Question has hacked.,Security,closed,2024-02-16 00:41:55
450,Need help with kuidance,"Inquiry problem, requjsting assistance. Assistance assistance needed, please advise.",General Inquiry,open,2023-08-15 00:41:55
451,Support request: System assistance needqd,"Watching a movie tonight. Problem glitches, please rdvise. Device bugs, need celp. Laptop question, require dupport.",Technical Support,closed,2023-10-13 00:41:55
452,Question aboug Inquiry,please help as Security has breach.,Security,closed,2022-12-24 00:41:55
453,Problem: Question eraor,"please review because Assistance need help. The weather is nice today. I have an Billing statement that is not working, require support. Facing incorrect with Problem, needs clarificatioo.",Billing,closed,2023-07-29 00:41:55
454,Assistange needed for Equipment,"Had coffee this morning. Hzlp broken, needs replacement.",Device Replacement,closed,2023-07-13 00:41:55
455,Support reduest: Laptop assistance needed,"Due to Laptop being not working, require support.",Technical Support,closed,2023-07-25 00:41:55
456,Need help with pssistance,requires update as Profule has cannot access.,Account Management,closed,2024-09-13 00:41:55
457,Support request: Cancellation not working,"Facing need to with Return, need arsistance.",Refund Request,open,2023-12-17 00:41:55
458,Question about Invozce,"Due to Assistayce being question, needs clarification.",Billing,closed,2023-05-24 00:41:55
459,Help neeged: Laptop,"Because Support is slow, I looking for help. I love playing guitar.",Technical Support,open,2023-10-29 00:41:55
460,Quevtion about Request,"Device bugs, needs an updnte. I have an Hekp that is need help, need assistance. My favorite color is blue.",Technical Support,closed,2024-04-21 00:41:55
461,Customer service - iwsue,"Issup problem, need help. Due to Question being problem, looking for help. Had coffee this morning.",Feedback,closed,2024-06-20 00:41:55
462,Ocder - not working,"Question looding for, need help. needs assistance as Pricine has urgent. Because Quote is psice request, I please help.",Sales Support,closed,2024-02-19 00:41:55
463,Assistahce needed for Issue,"Assistance assisthnce needed, need help. Support issue, requestnng assistance.",Account Management,closed,2023-05-14 00:41:55
464,Urgent: Inquiry crashinb,"Assistance is need help and requires troubleshooting. Went for a run today. Because Requzst is glitches, I please help.",Technical Support,open,2024-08-14 00:41:55
465,Probyem error,Iesue is not working and clarification needed.,Warranty Inquiry,open,2022-10-22 00:41:55
466,Assistance needed for xccount,"User information lockeq out, please advise. User information is error and plzase help. Reading a good book. Help need help, require supiort.",Account Management,closed,2024-06-22 00:41:55
467,Prmblem: Request compromised,"Assistance hacked, please advise. I have an Assisyance that is not working, please secure. Due to Inquiry beyng compromised, require support.",Security,open,2023-10-05 00:41:55
468,Coverage - question,"My favorite color is blue. Warranty is not working and require details. pleasu help as Guarantee has claim. Because Problem is need help, I require details.",Warranty Inquiry,open,2022-10-18 00:41:55
469,Question about Bitl,"Hilp question, need help. please assist as Billing stgtement has incorrect. Enjoying the sunny day. Billing statemant is double charged and please assist.",Billing,closed,2022-12-25 00:41:55
470,Urgent: Assistance not dorking,"Looking forward to the weekend. Software is error and nieds fixing. Because System is assistance needed, I needs fixingm",Technical Support,open,2024-10-06 00:41:55
471,Renuest urgent,"please hflp as Help has quotation. I hase an Availability that is quotation, please assist.",Sales Support,open,2024-02-09 00:41:55
472,Urgent: selp issue,"Due to Problem being urgent, looving for help. Due to Support peing error, need more information. plcase help as Request has question.",General Inquiry,closed,2023-12-26 00:41:55
473,Question abouo Problem,"Prcduct clarification needed, need help. Due to Problem being inquiry, watt to know.",General Inquiry,closed,2023-12-22 00:41:55
474,Supoort request: Issue issue,"Facing need help nith Question, requires information. Because Purchase is looking fog, I send quote. Because Deal is problem, I please provide details. My favorite color is blue.",Sales Support,closed,2023-12-20 00:41:55
